Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestCasesProd,Chrome 69.0.3497.100,,2018-09-26 00:40:01,2018-09-26 00:42:32,2m - 30.153s,PASSED
,,,,,,
Test Cases/Login Test Case,Chrome 69.0.3497.100,,2018-09-26 00:40:02,2018-09-26 00:40:20,18.572s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-26 00:40:02,2018-09-26 00:40:05,2.821s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-26 00:40:05,2018-09-26 00:40:14,9.642s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-26 00:40:14,2018-09-26 00:40:16,1.124s,PASSED
"Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl().substring(0, 5)",Chrome 69.0.3497.100,,2018-09-26 00:40:16,2018-09-26 00:40:16,0.016s,PASSED
"Statement - assert text == ""https""",Chrome 69.0.3497.100,,2018-09-26 00:40:16,2018-09-26 00:40:16,0.001s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:40:16,2018-09-26 00:40:16,0.150s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:40:16,2018-09-26 00:40:16,0.085s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:40:16,2018-09-26 00:40:20,3.821s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 00:40:20,2018-09-26 00:40:20,0.690s,PASSED
,,,,,,
Test Cases/Fetch feed items,Chrome 69.0.3497.100,,2018-09-26 00:40:20,2018-09-26 00:41:19,58.879s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-26 00:40:21,2018-09-26 00:40:22,1.972s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-26 00:40:22,2018-09-26 00:40:33,10.073s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-26 00:40:33,2018-09-26 00:40:34,1.118s,PASSED
"Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl().substring(0, 5)",Chrome 69.0.3497.100,,2018-09-26 00:40:34,2018-09-26 00:40:34,0.008s,PASSED
"Statement - assert text == ""https""",Chrome 69.0.3497.100,,2018-09-26 00:40:34,2018-09-26 00:40:34,0.002s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:40:34,2018-09-26 00:40:34,0.120s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:40:34,2018-09-26 00:40:34,0.079s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:40:34,2018-09-26 00:40:37,3.124s,PASSED
waitForAngularLoad,Chrome 69.0.3497.100,,2018-09-26 00:40:37,2018-09-26 00:40:37,0.153s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-09-26 00:40:37,2018-09-26 00:40:37,0.006s,PASSED
"Statement - feedcount = driver.findElements(org.openqa.selenium.By.xpath(""//cnv-feed-item"")).size()",Chrome 69.0.3497.100,,2018-09-26 00:40:37,2018-09-26 00:40:37,0.018s,PASSED
"Statement - println(""This is feed items count without the scroll"" + feedcount)",Chrome 69.0.3497.100,,2018-09-26 00:40:37,2018-09-26 00:40:37,0.002s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-26 00:40:37,2018-09-26 00:40:57,20.016s,PASSED
Statement - i = 0,Chrome 69.0.3497.100,,2018-09-26 00:40:57,2018-09-26 00:40:57,0.002s,PASSED
Statement - While (i < 50),Chrome 69.0.3497.100,,2018-09-26 00:40:57,2018-09-26 00:40:59,1.319s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-26 00:40:59,2018-09-26 00:41:19,20.003s,PASSED
"Statement - feedcount2 = driver.findElements(org.openqa.selenium.By.xpath(""//cnv-feed-item"")).size()",Chrome 69.0.3497.100,,2018-09-26 00:41:19,2018-09-26 00:41:19,0.028s,PASSED
"Statement - println(""This is feed items count with the scroll"" + feedcount2)",Chrome 69.0.3497.100,,2018-09-26 00:41:19,2018-09-26 00:41:19,0.000s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 00:41:19,2018-09-26 00:41:19,0.657s,PASSED
,,,,,,
Test Cases/Public and private groups count,Chrome 69.0.3497.100,,2018-09-26 00:41:19,2018-09-26 00:41:55,35.319s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-26 00:41:19,2018-09-26 00:41:21,1.944s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-26 00:41:21,2018-09-26 00:41:27,5.167s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-26 00:41:27,2018-09-26 00:41:28,1.116s,PASSED
"Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl().substring(0, 5)",Chrome 69.0.3497.100,,2018-09-26 00:41:28,2018-09-26 00:41:28,0.009s,PASSED
"Statement - assert text == ""https""",Chrome 69.0.3497.100,,2018-09-26 00:41:28,2018-09-26 00:41:28,0.000s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:41:28,2018-09-26 00:41:28,0.119s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:41:28,2018-09-26 00:41:28,0.071s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:41:28,2018-09-26 00:41:31,3.241s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-26 00:41:31,2018-09-26 00:41:34,2.714s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-26 00:41:34,2018-09-26 00:41:34,0.032s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-26 00:41:34,2018-09-26 00:41:54,20.002s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.001s,PASSED
"Statement - Privategrpscount = driver.findElements(org.openqa.selenium.By.xpath(""//li[contains(@bo-repeat,'group in privateGroupsArray')]"")).size()",Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.032s,PASSED
"Statement - println(""Private Groups count is: "" + Privategrpscount)",Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.000s,PASSED
"Statement - Publicgrpscount = driver.findElements(org.openqa.selenium.By.xpath(""//li[contains(@bo-repeat,'group in publicGroupsArray')]"")).size()",Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.015s,PASSED
"Statement - println(""Public Groups count is: "" + Publicgrpscount)",Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.000s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:55,0.680s,PASSED
,,,,,,
Test Cases/Product Notification get call,Chrome 69.0.3497.100,,2018-09-26 00:41:55,2018-09-26 00:42:32,37.073s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-26 00:41:55,2018-09-26 00:41:57,2.027s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-26 00:41:57,2018-09-26 00:42:06,9.631s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-26 00:42:06,2018-09-26 00:42:07,1.131s,PASSED
"Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl().substring(0, 5)",Chrome 69.0.3497.100,,2018-09-26 00:42:07,2018-09-26 00:42:07,0.008s,PASSED
"Statement - assert text == ""https""",Chrome 69.0.3497.100,,2018-09-26 00:42:07,2018-09-26 00:42:07,0.000s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:42:07,2018-09-26 00:42:08,0.138s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:42:08,2018-09-26 00:42:08,0.075s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:42:08,2018-09-26 00:42:11,3.132s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-26 00:42:11,2018-09-26 00:42:31,20.003s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-26 00:42:31,2018-09-26 00:42:31,0.052s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:42:31,2018-09-26 00:42:31,0.103s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 00:42:31,2018-09-26 00:42:32,0.666s,PASSED
